App,Rssi,UUID,Model,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,ChargeRemaining,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,WeightLRaw,w3,WeightRRaw,w2,w4
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 1:17 PM,10/17/2024 9:17 AM,1729171064,3,false,100,,73.13,45,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 2:17 PM,10/17/2024 10:17 AM,1729174664,7,false,,100,74.15,45,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 3:17 PM,10/17/2024 11:17 AM,1729178264,8,false,100,,74.19,45,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 4:17 PM,10/17/2024 12:17 PM,1729181864,9,false,,100,73.95,45,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 5:17 PM,10/17/2024 1:17 PM,1729185464,10,false,100,,74.03,43,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 6:17 PM,10/17/2024 2:17 PM,1729189064,11,false,,100,72.46,41,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 7:17 PM,10/17/2024 3:17 PM,1729192664,12,false,100,,70.71,42,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 8:17 PM,10/17/2024 4:17 PM,1729196264,13,false,,100,69.02,42,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 9:17 PM,10/17/2024 5:17 PM,1729199864,14,false,100,,68.41,43,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 10:17 PM,10/17/2024 6:17 PM,1729203464,15,false,,100,68,44,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/17/2024 11:17 PM,10/17/2024 7:17 PM,1729207064,16,false,100,,67.91,45,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 12:17 AM,10/17/2024 8:17 PM,1729210664,17,false,,100,67.8,46,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 1:17 AM,10/17/2024 9:17 PM,1729214264,18,false,100,,67.8,47,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 2:17 AM,10/17/2024 10:17 PM,1729217864,19,false,,100,67.71,48,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 3:17 AM,10/17/2024 11:17 PM,1729221464,20,false,99,,67.67,48,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 4:17 AM,10/18/2024 12:17 AM,1729225064,21,false,,100,67.55,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 5:17 AM,10/18/2024 1:17 AM,1729228664,22,false,97,,67.51,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 6:17 AM,10/18/2024 2:17 AM,1729232264,23,false,,100,67.55,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 7:17 AM,10/18/2024 3:17 AM,1729235864,24,false,97,,67.64,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 8:17 AM,10/18/2024 4:17 AM,1729239464,25,false,,100,67.6,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 9:17 AM,10/18/2024 5:17 AM,1729243064,26,false,96,,67.58,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 10:17 AM,10/18/2024 6:17 AM,1729246664,27,false,,100,67.47,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 11:17 AM,10/18/2024 7:17 AM,1729250264,28,false,95,,67.47,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 12:17 PM,10/18/2024 8:17 AM,1729253864,29,false,,100,67.51,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 1:17 PM,10/18/2024 9:17 AM,1729257464,30,false,94,,67.58,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 2:17 PM,10/18/2024 10:17 AM,1729261064,31,false,,100,67.6,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 3:17 PM,10/18/2024 11:17 AM,1729264664,32,false,94,,67.55,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 4:17 PM,10/18/2024 12:17 PM,1729268264,33,false,,100,67.71,49,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 5:17 PM,10/18/2024 1:17 PM,1729271864,34,false,93,,68.1,50,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 6:17 PM,10/18/2024 2:17 PM,1729275464,35,false,,100,68.28,50,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 7:17 PM,10/18/2024 3:17 PM,1729279064,36,false,93,,68.32,50,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 8:17 PM,10/18/2024 4:17 PM,1729282664,37,false,,100,68.14,50,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 9:17 PM,10/18/2024 5:17 PM,1729286264,38,false,92,,67.96,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 10:17 PM,10/18/2024 6:17 PM,1729289864,39,false,,100,67.8,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/18/2024 11:17 PM,10/18/2024 7:17 PM,1729293464,40,false,92,,67.67,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 12:17 AM,10/18/2024 8:17 PM,1729297064,41,false,,100,67.55,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 1:17 AM,10/18/2024 9:17 PM,1729300664,42,false,91,,67.42,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 2:17 AM,10/18/2024 10:17 PM,1729304264,43,false,,100,67.29,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 3:17 AM,10/18/2024 11:17 PM,1729307864,44,false,90,,67.17,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 4:17 AM,10/19/2024 12:17 AM,1729311464,45,false,,100,67.47,51,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 5:17 AM,10/19/2024 1:17 AM,1729315064,46,false,90,,67.85,52,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 6:17 AM,10/19/2024 2:17 AM,1729318664,47,false,,100,68.28,52,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 7:17 AM,10/19/2024 3:17 AM,1729322264,48,false,90,,68.43,52,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 8:17 AM,10/19/2024 4:17 AM,1729325864,49,false,,100,68.41,52,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 9:17 AM,10/19/2024 5:17 AM,1729329464,50,false,90,,68.36,52,,,,,,,,,
BAPP,0,56:40:58,56,Logged_Data,1741210939,10/19/2024 10:17 AM,10/19/2024 6:17 AM,1729333064,51,false,,100,68.46,52,,,,,,,,,
