App,Rssi,UUID,Model,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,ChargeRemaining,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,WeightLRaw,w3,WeightRRaw,w2,w4
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 2:17 PM,10/17/2024 10:17 AM,1729174649,3,false,100,,73.5,44,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 3:17 PM,10/17/2024 11:17 AM,1729178249,7,false,,100,74.91,44,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 4:17 PM,10/17/2024 12:17 PM,1729181849,8,false,100,,74.89,44,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 5:17 PM,10/17/2024 1:17 PM,1729185449,9,false,,100,73.97,44,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 6:17 PM,10/17/2024 2:17 PM,1729189049,10,false,100,,74.12,43,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 7:17 PM,10/17/2024 3:17 PM,1729192649,11,false,,100,72.37,42,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 8:17 PM,10/17/2024 4:17 PM,1729196249,12,false,100,,70.64,42,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 9:17 PM,10/17/2024 5:17 PM,1729199849,13,false,,100,69.02,42,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 10:17 PM,10/17/2024 6:17 PM,1729203449,14,false,100,,68.39,43,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/17/2024 11:17 PM,10/17/2024 7:17 PM,1729207049,15,false,,100,68.01,44,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 12:17 AM,10/17/2024 8:17 PM,1729210649,16,false,100,,67.96,45,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 1:17 AM,10/17/2024 9:17 PM,1729214249,17,false,,100,67.8,46,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 2:17 AM,10/17/2024 10:17 PM,1729217849,18,false,100,,67.73,47,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 3:17 AM,10/17/2024 11:17 PM,1729221449,19,false,,100,67.69,48,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 4:17 AM,10/18/2024 12:17 AM,1729225049,20,false,98,,67.64,48,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 5:17 AM,10/18/2024 1:17 AM,1729228649,21,false,,100,67.56,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 6:17 AM,10/18/2024 2:17 AM,1729232249,22,false,97,,67.47,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 7:17 AM,10/18/2024 3:17 AM,1729235849,23,false,,100,67.53,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 8:17 AM,10/18/2024 4:17 AM,1729239449,24,false,97,,67.56,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 9:17 AM,10/18/2024 5:17 AM,1729243049,25,false,,100,67.56,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 10:17 AM,10/18/2024 6:17 AM,1729246649,26,false,96,,67.51,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 11:17 AM,10/18/2024 7:17 AM,1729250249,27,false,,100,67.45,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 12:17 PM,10/18/2024 8:17 AM,1729253849,28,false,95,,67.44,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 1:17 PM,10/18/2024 9:17 AM,1729257449,29,false,,100,67.45,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 2:17 PM,10/18/2024 10:17 AM,1729261049,30,false,94,,67.58,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 3:17 PM,10/18/2024 11:17 AM,1729264649,31,false,,100,67.51,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 4:17 PM,10/18/2024 12:17 PM,1729268249,32,false,93,,67.56,49,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 5:17 PM,10/18/2024 1:17 PM,1729271849,33,false,,100,67.65,50,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 6:17 PM,10/18/2024 2:17 PM,1729275449,34,false,93,,68.41,50,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 7:17 PM,10/18/2024 3:17 PM,1729279049,35,false,,100,68.32,50,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 8:17 PM,10/18/2024 4:17 PM,1729282649,36,false,93,,68.45,50,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 9:17 PM,10/18/2024 5:17 PM,1729286249,37,false,,100,68.16,50,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 10:17 PM,10/18/2024 6:17 PM,1729289849,38,false,92,,68.03,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/18/2024 11:17 PM,10/18/2024 7:17 PM,1729293449,39,false,,100,67.8,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 12:17 AM,10/18/2024 8:17 PM,1729297049,40,false,92,,67.73,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 1:17 AM,10/18/2024 9:17 PM,1729300649,41,false,,100,67.62,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 2:17 AM,10/18/2024 10:17 PM,1729304249,42,false,91,,67.47,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 3:17 AM,10/18/2024 11:17 PM,1729307849,43,false,,100,67.44,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 4:17 AM,10/19/2024 12:17 AM,1729311449,44,false,90,,67.2,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 5:17 AM,10/19/2024 1:17 AM,1729315049,45,false,,100,67.51,51,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 6:17 AM,10/19/2024 2:17 AM,1729318649,46,false,91,,67.98,52,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 7:17 AM,10/19/2024 3:17 AM,1729322249,47,false,,100,68.39,52,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 8:17 AM,10/19/2024 4:17 AM,1729325849,48,false,90,,68.54,52,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 9:17 AM,10/19/2024 5:17 AM,1729329449,49,false,,100,68.46,52,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 10:17 AM,10/19/2024 6:17 AM,1729333049,50,false,90,,68.46,52,,,,,,,,,
BAPP,0,56:40:52,56,Logged_Data,1741210904,10/19/2024 11:17 AM,10/19/2024 7:17 AM,1729336649,51,false,,100,68.52,52,,,,,,,,,
