App,Rssi,UUID,Model,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,ChargeRemaining,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,WeightLRaw,w3,WeightRRaw,w2,w4,Radar1,Audio1,Radar2,Audio2
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 4:39 PM,10/17/2024 12:39 PM,1729183148,1,false,100,,71.99,,,,,,,,,,,-327.67,-327.67,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 4:39 PM,10/17/2024 12:39 PM,1729183164,3,false,100,,71.99,,,,,,,,,,,-327.67,-327.67,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 4:39 PM,10/17/2024 12:39 PM,1729183196,4,false,100,,72.1,,,,,,,,,,,11.68,179.57,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 4:54 PM,10/17/2024 12:54 PM,1729184096,5,false,100,,73.65,,,,,,,,,,,7.21,7.01,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 5:09 PM,10/17/2024 1:09 PM,1729184996,6,false,100,,73.58,,,,,,,,,,,21.64,7.02,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 5:24 PM,10/17/2024 1:24 PM,1729185896,7,false,,100,73.49,,,,,,,,,,,38.07,21.18,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 5:39 PM,10/17/2024 1:39 PM,1729186796,8,false,100,,72.98,,,,,,,,,,,7.48,8.61,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 5:54 PM,10/17/2024 1:54 PM,1729187696,9,false,,100,73.02,,,,,,,,,,,7.53,7.23,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 6:09 PM,10/17/2024 2:09 PM,1729188596,10,false,100,,73.22,,,,,,,,,,,7.59,7.3,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 6:24 PM,10/17/2024 2:24 PM,1729189496,11,false,,100,73.32,,,,,,,,,,,7.69,7.35,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 6:39 PM,10/17/2024 2:39 PM,1729190396,12,false,100,,73.43,,,,,,,,,,,7.72,7.41,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 6:54 PM,10/17/2024 2:54 PM,1729191296,13,false,,100,73.49,,,,,,,,,,,7.79,7.46,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 7:09 PM,10/17/2024 3:09 PM,1729192196,14,false,100,,73.5,,,,,,,,,,,7.83,7.5,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 7:24 PM,10/17/2024 3:24 PM,1729193096,15,false,,100,73.5,,,,,,,,,,,8.04,7.63,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 7:39 PM,10/17/2024 3:39 PM,1729193996,16,false,100,,73.22,,,,,,,,,,,8.44,7.61,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 7:54 PM,10/17/2024 3:54 PM,1729194896,17,false,,100,72.91,,,,,,,,,,,7.92,7.56,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 8:09 PM,10/17/2024 4:09 PM,1729195796,18,false,100,,72.48,,,,,,,,,,,7.91,7.71,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 8:24 PM,10/17/2024 4:24 PM,1729196696,19,false,,100,72.12,,,,,,,,,,,7.92,7.67,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 8:39 PM,10/17/2024 4:39 PM,1729197596,20,false,100,,71.87,,,,,,,,,,,7.9,7.67,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 8:54 PM,10/17/2024 4:54 PM,1729198496,21,false,,100,71.36,,,,,,,,,,,7.91,7.54,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 9:09 PM,10/17/2024 5:09 PM,1729199396,22,false,100,,70.82,,,,,,,,,,,7.89,7.72,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 9:24 PM,10/17/2024 5:24 PM,1729200296,23,false,,100,70.34,,,,,,,,,,,7.89,7.51,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 9:39 PM,10/17/2024 5:39 PM,1729201196,24,false,100,,69.85,,,,,,,,,,,7.87,7.54,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 9:54 PM,10/17/2024 5:54 PM,1729202096,25,false,,100,69.49,,,,,,,,,,,7.87,7.55,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 10:09 PM,10/17/2024 6:09 PM,1729202996,26,false,100,,69.24,,,,,,,,,,,7.87,7.7,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 10:24 PM,10/17/2024 6:24 PM,1729203896,27,false,,100,68.99,,,,,,,,,,,7.86,7.97,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 10:39 PM,10/17/2024 6:39 PM,1729204796,28,false,100,,68.82,,,,,,,,,,,7.85,8.07,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 10:54 PM,10/17/2024 6:54 PM,1729205696,29,false,,100,68.59,,,,,,,,,,,7.86,8.42,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 11:09 PM,10/17/2024 7:09 PM,1729206596,30,false,100,,68.46,,,,,,,,,,,7.83,8.3,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 11:24 PM,10/17/2024 7:24 PM,1729207496,31,false,,100,68.32,,,,,,,,,,,7.83,8.05,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 11:39 PM,10/17/2024 7:39 PM,1729208396,32,false,100,,68.16,,,,,,,,,,,7.8,7.97,,
BAPP,0,63:06:7C,63,Logged_Data,1741210813,10/17/2024 11:54 PM,10/17/2024 7:54 PM,1729209296,33,false,,100,68.12,,,,,,,,,,,7.81,7.7,,
